url,product_title,product_price,Condition,Processor,Screen Size,Chipset Model,Lock Status,SIM Card Slot,Brand,Manufacturer Warranty,Network,Model,Connectivity,Style,Operating System,Features,Storage Capacity,Contract,Camera Resolution,RAM,feedback
https://www.ebay.com/itm/155666971834?hash=item243e797cba:g:f78AAOSwbDFlJnZO&amdata=enc%3AAQAIAAAAsELcZ%2BNF4njFQasvRJZEUcWGpPvNOEBvGys97GSHQ068ytGUo6rhUY4l%2FCq%2BRxICLBK4ot6d3tDbl666iXfEAhMJK9jgGKUXXx91uXXGRumAyP%2Fv2J4SlVWOcLtvc7oQQ1TLQr25a3%2BsNNNxRcq5e5co52uE%2Bl6qVdaiILqoj8lLe4xi61T%2F1bF0EJcE1FQVIHtCJ8AY5S3cRfXx3xMsv9Wv%2FqwP6F8%2Bz3MzHxBiqNaO%7Ctkp%3ABlBMUM7Q8pj-Yg,Apple iPhone 12 - 64GB - Black (Unlocked) A2172 (CDMA + GSM),US $479.00/ea,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... ",6.1 in,Black,Apple A14 Bionic,Network Unlocked,"A1324 (China), A1325 (China), A1431 (China), A1442 (China), A1533 (China), A1690 (China), A1691 (China), A1699 (China), A1700 (China), A1724 (China), A1780 (China), A2111 (CDMA + GSM)",Apple,Unlocked,Apple iPhone 12,"4G, 4G+, 5G",iOS,"3D Depth Camera, 3D Face Recognition, Wireless Charging",64 GB,China,12.0 MP,4 GB,Does not apply,,
https://www.ebay.com/fdbk/feedback_profile/xinbaona?filter=feedback_page%3ARECEIVED_AS_SELLER&q=155666971834&sort=TIME,,,,,,,,,,,,,,,,,,,,,"Highly recommend, Great to do business with. A+++++,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),Great seller. everything good.,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),As advertised. Great phone!,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),Great seller! A++,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),Excellent ebayer + Fast Shipping + Thank you +++++,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),Seller promised delivery with a two day window (16th-19th) and phone arrived on the 16th.  I Item is exactly what I wanted.  I would deal with this seller again.  Thank you!,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),nice phone, as advertised,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834),Fast delivery item as promised no issues. Will be back again for more shopping again soon.,Apple iPhone 11 - 64GB - Factory Unlocked T-Mobile AT&T Verizon Smartphone New (#155666971834)"
https://www.ebay.com/itm/266385336714?epid=3023714401&hash=item3e05cda98a:g:r48AAOSwHZJk5ye~&amdata=enc%3AAQAIAAAA0H8iegfJJ8A4b%2FKdJHsKV1CxrQLjpxIRhp3qYyg8RM0KJFUDKg%2FBJL3bKiZMKQKRhsbvJ8PZtm2rVnvWhcTz6tXWMEgASZdMvYGWAdaxqJ9wKznIdGlbE9v26fKIQBHXfwZAvbmXWVwh181YPYTZ6VtS5DdzoqJPL4a2miSZNtPqC9CmQWcIEtuDKN%2F%2Bj86eVM%2BYSOJuptBkXfr8rxK8DWzyXjcFspM6NMvH0UfMdG%2FeLCbfyugW1lI927jownYFXvch9pMz27N4X%2BE7tEKFKio%3D%7Ctkp%3ABFBM2tDymP5i,Apple iPhone XS Max 64/256 / 512GBロック解除全色非常に良い状態,GBP 249.99,Very Good - Refurbished,“FREE UK EXPRESS Next Day Royal Mail Special Delivery + 12 Month Warranty”,Without Contract,Apple,Apple iPhone XS Max,"3D Depth Camera, 3D Depth Sensor, 3D Face Recognition, 4K Video Recording, Accelerometer, Bluetooth Enabled, Camera, Colour Screen, Facial Recognition, Front Camera, GPS, Internet Connectivity, MMS (Multimedia Messaging), Music Player, NFC Connectivity, Proximity Sensor, Rear Camera, Sim Free, Touch Screen, Vibration, Video Calling, Video Camera",iOS,Dual SIM (SIM + eSIM),4 GB,Factory Unlocked,Slate,GSM | CDMA | HSPA | EVDO | LTE,Unknown,None,Not Applicable,12.0 MP,A2101,"2G, 3G, 4G, Bluetooth, Dual-Band, GPRS, GPS, Lightning, NFC, Quad-Band, Tri-Band, Wi-Fi",
https://www.ebay.com/itm/223986366341?epid=16052970109&hash=item3426a0b785:g:GwYAAOSwEKBkfdaF&amdata=enc%3AAQAIAAAA0HLBl3GBcO%2B0MgQE%2FYSfB0iSkUEtap0H3kMoL6oW1HYGulCRRsyaj%2BGzoWg44OarG8C2wnySCXpyU%2F7V%2BSOsnvgyjlsWufuCx7djbrMoEuGLzfKW9rIXvZBW2TYow1IJSit2a2XPbvg3NvNeeO4li74nUZ2IABBnzRb6F7edRIHiu0pTUlkBual9wF0cPWW4Yjiap9YSr96q7zR23B4dq9yfq2lclSx0tz22Cq8QZY9V3uX7j5RUUd7%2BD5AYqSCwON5Mg1wNhVndiHQRpB7izvs%3D%7Ctkp%3ABFBM2tDymP5i,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition,GBP 119.95,Excellent - Refurbished,"“✅5% OFF CODE PREBLCKFRIDAY5✅12 MONTHS WARRANTY✅ Will have NO or light scratches, invisible at 20cm. ... ",Hexa Core,No,Apple A11 Bionic,MRRN2B/A,Factory Unlocked,Single SIM,Grey,1 Year,Unlocked,Bar,iOS,"3D Depth Camera, 3D Depth Sensor, 4K Video Recording, 8K Video Recording, Accelerometer, Active Edge, Ambient Light Sensor, AMOLED Display, Camera, Colour Screen, EDGE, Email, Web, Email Access, Fingerprint Sensor, Front Camera, Internet Connectivity, Nano SIM, NFC Connectivity, Rear Camera, Retina Display, Sim Free, Speakerphone, Speech Recognition, Touch Screen, Video Calling, Video Camera, Wi-Fi Capable",256 GB,12.0 MP,4.7 in,Built in,
https://www.ebay.com/fdbk/feedback_profile/limetropic?filter=feedback_page%3ARECEIVED_AS_SELLER&q=266385336714&sort=TIME,,,,,,,,,,,,,,,,,,,,,"100% Service, delivered within 18Hours very good condition ,Apple iPhone XS Max 64/256/512GB Unlocked All Colours Very Good Condition (#,)"
https://www.ebay.com/fdbk/feedback_profile/ataglobal?filter=feedback_page%3ARECEIVED_AS_SELLER&q=223986366341&sort=TIME,,,,,,,,,,,,,,,,,,,,,"Good,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),Bargain item,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),As described,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),Does everything that it should ,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),Excellent customer care and communication, fast shipping, very happy with my order, would do business again, thanks!,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),Great item and delivery. ,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),First phone wouldn't charge but sent back and a replacement was sent out . ,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#,),Great item,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#223986366341),Item as described fast delivery ,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#223986366341),Item as described. Fast delivery A********,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#223986366341),Really good so happy with it ,Apple iPhone 8 Unlocked 64GB 256GB Excellent Refurbished - Grade A++ Condition (#223986366341),Phone arived when seller said it would looks. Perfect thanks,Apple iPhone 8 64GB 256GB Unlocked SimFree Smartphone Colours Excellent Grade A+ (#223986366341),Ordered red and got gold,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Honestly wasn’t sure what to expect from a phone that’s years old and was only £129 second hand. But as a second phone it’s a total bargain and the mobile was totally immaculate and 100% chip , crack , scrape free.  ,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Great, thanks,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Happy with my purchase,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Phone as described and in great condition. Battery was only 89% not 100% as requested, returned and they put in a new battery for me. Great comms and customer service. They even pay the return postage too. ,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Second, iPhone, I bought from this company, went above and beyond to get it to me delivered really early this week. Couldn’t be happier with this service! I shall definitely be buying in future from you. Thank you for your quick swift service. But not just that when I asked for it to be posted you posted it. So thanks so much  ��￼,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Excellent service arrived quickly.  But it will only work on wifi and doesn't ring when someone rings it. Can I send it back to be fixed please? ,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Great item,  Fast delivery, top Ebayer. A+++,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Arrived fast, as described thanks ,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),your selection for me was very nice.and I want to ask if I can keep you and trust you as a regular customer since I buy and sell them in Ghana, so I will start buy them in large size. ,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Item as described and arrived quickly. Very good. Will purchase again when necessary.,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Very happy ,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341),Wow, you’re amazing. My phone arrived earlier than expected. I can’t thank the seller enough, they got this through to me extremely quickly. Thank you from the bottom of my heart for your service.My new iPhone is amazing.But mostly I can make calls. Thanks to you. Five stars  ￼����������,Apple iPhone 8 Unlocked 64GB/256GB Grey/Red/Silver/Gold - Excellent Condition A+ (#223986366341)"
https://www.ebay.com/fdbk/feedback_profile/smile365day?filter=feedback_page%3ARECEIVED_AS_SELLER&q=334868893136&sort=TIME,,,,,,,,,,,,,,,,,,,,,"As described work perfectly ,📱 Apple iPhone 5 16/32/64GB - Unlocked Black white Grade A Condition IOS10📱 (#,),The phone was in top condition, everything as described.,📱 Apple iPhone 5 16/32/64GB - Unlocked Black white Grade A Condition IOS10📱 (#,),I'm extremely pleased with my recent order! The package arrived earlier than expected, the shipping was seamless, and the item price was great. Most importantly, the item was in amazing condition. Thank you for the excellent service!,📱 Apple iPhone 5 16/32/64GB - Unlocked Black white Grade A Condition IOS10📱 (#,),Great seller!,📱 Apple iPhone 5 16/32/64GB - Unlocked Black white Grade A Condition IOS10📱 (#,),Arrived way  before time. Product is great and functioning,📱 Apple iPhone 5 16/32/64GB - Unlocked Black white Grade A Condition IOS10📱 (#334868893136)"
https://www.ebay.com/itm/204544791482?epid=16034214068&hash=item2f9fd1d3ba:g:hKgAAOSw5Kxkvori&amdata=enc%3AAQAIAAAAwEwqVYPT2or4tE0p4YOEyzqL99qfmvGhYf0Czby8KMzcV0TEKVototSq3VNzf9cZBVz7FJPKoxeRYLfsmZ3%2FfL3F1TgUwoChaExukexaXqqM7XfMpA%2F%2B7WRWbwGyAEH7gO2hfnwNKJoikKD%2B1Uc8oOrqccfSPPkuvD6d2NuDTsPa%2FjyP1ynk4tsNYcHIcQ6kYlNk9VFQ9zzDNnwzCdD4LdSpT%2BumXpnk8ChSsthEzVuLP2XeY%2F810C18OgScSfgroA%3D%3D%7Ctkp%3ABk9SR9rQ8pj-Yg,Apple iPhone 11 - 64GB - Purple ,US $58.00,For parts or not working: An item that does not function as intended and is not fully operational. ... ,0190199220614,Hexa Core,6.1 in,Purple,MWLC2LL/A,A2111 (CDMA + GSM),Apple,AT&T,Apple iPhone 11,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",Bar,iOS,"Liquid Retina HD Display, Water-Resistant, Facial Recognition, 4K Video Recording, Wide-Angle Camera, Fast Wireless Charging, Dust-Resistant, Ultra Wide-Angle Camera, Dual Rear Cameras, eSIM, Fast Charging",64 GB,12.0 MP,Apple,MWLC2LL/A,
https://www.ebay.com/fdbk/feedback_profile/unlocked-mobile?filter=feedback_page%3ARECEIVED_AS_SELLER&q=404352629595&sort=TIME,,,,,,,,,,,,,,,,,,,,,"Very good seller,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#,),Super,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#,),Arrived early came in amazing condition had enough battery life for me to set it up overall pretty worth it I go to 16 GB White model

,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#,),Bon vendeur excellent rapide je recommande ,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#,),Everything seems good.,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#,),10,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#404352629595),Bien, cumple con lo que se describe ,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#404352629595),item recebido em ótimas condições ,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A 📱 (#404352629595),item arrived as described only the battery  not great but fine ,📱 Original Unlocked Apple iPhone 5C 8/16/32GB ROM IOS10 4G WIFi Grade A+📱 (#404352629595)"
https://www.ebay.com/itm/203834120226?hash=item2f7575d822:g:oD0AAOSwIFFiDNBY&amdata=enc%3AAQAIAAAA4DCK1%2FBl7fHMkyn1T%2B08KQ3me8lYDbceA7fHrsbs0QxfvuQGTHxlZWsuL5fR7UkiHq8z%2FSk4XCThfgNAvJ3%2FiIIEOCiFKJPnfhNwmD6bznsa%2Fv6KohVBBThjJB88V7vVvqSdNbwS9SFcuAWbXcfxejSOi1bKBPjTBG5D7xqye3WcrpNUqtqquAIG27uGB7reXlfrKh54gUKEW82EgoYIb%2F4ZiL55eQBd0bmc2H5rMZIWVpMoDewT396pab1WwGoD8NB%2BhKT73DGONM1xWpYG2uCnOQttctjBN8jsWAe7SBsH%7Ctkp%3ABk9SR9rQ8pj-Yg,Apple iPhone 13 Pro 128GB 256GB 512GB 1TB Unlocked All Colours Good Condition,GBP 479.99,Good - Refurbished,“FREE UK EXPRESS Next Day Royal Mail Special Delivery + 12 Month Warranty”,Without Contract,Apple,Apple iPhone 13 Pro,"3D Depth Camera, 3D Depth Sensor, 3D Face Recognition, 4K Video Recording, Accelerometer, Ambient Light Sensor, Bluetooth Enabled, Camera, Facial Recognition, GPS, MMS (Multimedia Messaging), Nano SIM, NFC Connectivity, Rear Camera, Sim Free, Vibration, Video Camera, Wi-Fi Capable",iOS,Dual SIM (SIM + eSIM),6 GB,Factory Unlocked,Slate,GSM | CDMA | HSPA | EVDO | LTE | 5G,Unknown,None,Not Applicable,12.0 MP,A2638,"2G, 3G, 4G, 4G+, 5G, Bluetooth, Dual-Band, GPRS, GPS, Lightning, LTE, NFC, Quad-Band, Tri-Band, Wi-Fi",
